cuenta,nombre_eerr
410101,Ingresos de actividades ordinarias
410102,Ingresos de actividades ordinarias
410103,Ingresos de actividades ordinarias
410104,Ingresos de actividades ordinarias
410105,Ingresos de actividades ordinarias
410106,Ingresos de actividades ordinarias
410108,Ingresos de actividades ordinarias
410109,Ingresos de actividades ordinarias
410110,Ingresos de actividades ordinarias
410113,Ingresos de actividades ordinarias
410117,Ingresos de actividades ordinarias
410121,Ingresos de actividades ordinarias
410131,Ingresos de actividades ordinarias
410300,Otros Ingresos por Función
410700,Ingreso Financiero
410900,Otros gastos por función
412001,Finiquitos
412002,Multas
412004,Provisión Obsolescencias Inventarios
412005,Provisión Incobrales
510101,Costo de ventas
510102,Costo de ventas
510103,Costo de ventas
510104,Costo de ventas
510105,Costo de ventas
510106,Costo de ventas
510109,Costo de ventas
510110,Costo de ventas
510111,Otros gastos por naturaleza
510112,Otros gastos por naturaleza
510113,Costo de ventas
510114,Costo de ventas
510115,Costo de ventas
510116,Costo de ventas
510117,Costo de ventas
510118,Costo de ventas
510119,Costo de ventas
510120,Costo de ventas
510122,Costo de ventas
510123,Costo de ventas
510125,Costo de ventas
510126,Costo de ventas
510129,Costo de ventas
510131,Costo de ventas
510132,Costo de ventas
510133,Costo de ventas
610101,Gastos por beneficios a los empleados
610102,Gastos por beneficios a los empleados
610103,Gastos por beneficios a los empleados
610104,Gastos por beneficios a los empleados
610105,Gastos por beneficios a los empleados
610106,Gastos por beneficios a los empleados
610107,Gastos por beneficios a los empleados
610109,Gastos por beneficios a los empleados
610110,Gastos por beneficios a los empleados
610111,Gastos por beneficios a los empleados
610112,Gastos por beneficios a los empleados
610113,Gastos por beneficios a los empleados
610114,Gastos por beneficios a los empleados
610115,Gastos por beneficios a los empleados
610116,Gastos por beneficios a los empleados
610117,Gastos por beneficios a los empleados
610118,Gastos por beneficios a los empleados
610120,Gastos por beneficios a los empleados
610121,Gastos por beneficios a los empleados
610122,Gastos por beneficios a los empleados
610123,Gastos por beneficios a los empleados
610124,Gastos por beneficios a los empleados
610125,Gastos por beneficios a los empleados
610126,Gastos por beneficios a los empleados
610128,Gastos por beneficios a los empleados
610129,Gastos por beneficios a los empleados
610130,Gastos por beneficios a los empleados
610131,Gastos por beneficios a los empleados
610132,Gastos por beneficios a los empleados
610133,Gastos por beneficios a los empleados
610201,Otros gastos por naturaleza
610202,Otros gastos por naturaleza
610203,Otros gastos por naturaleza
610204,Otros gastos por naturaleza
610205,Otros gastos por naturaleza
610206,Gastos por beneficios a los empleados
610301,Otros gastos por naturaleza
610302,Otros gastos por naturaleza
610303,Otros gastos por naturaleza
610304,Otros gastos por naturaleza
610305,Otros gastos por naturaleza
610306,Otros gastos por naturaleza
610307,Otros gastos por naturaleza
610308,Otros gastos por naturaleza
610309,Otros gastos por naturaleza
610310,Otros gastos por naturaleza
610311,Otros gastos por naturaleza
610312,Otros gastos por naturaleza
610313,Otros gastos por naturaleza
610402,Otros gastos por naturaleza
610403,Otros gastos por naturaleza
